respondent_id,simulation_seed,q1_primary_role,q1_role_id,q2_years_in_ed,q4_other_dimensions_text,q5_most_unacceptable_error,q6_preferred_format,q7_role_customization_importance,q8_preferred_length,q9_interpretation_preference,q10_critical_findings_presentation,q11_verifiability_importance,q12_other_critical_comments_text,q13_gift_card_draw_opt_in,q3_rank__factual_accuracy,q3_rank__relevant_chronic_problem_coverage,q3_rank__organized_by_condition,q3_rank__timeline_evolution,q3_rank__recent_changes_highlighted,q3_rank__focused_not_cluttered,q3_rank__usefulness_for_decision_making,q3_rank__clarity_readability_formatting
R039,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,5,2,4,8,3,6,7,1
R040,20260414,Bedside nurse,bedside_nurse,1-3 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Missing Critical Information,Bullet Points,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,,No,1,6,8,2,3,7,5,4
R041,20260414,Bedside nurse,bedside_nurse,1-3 years,,Containing incorrect information,Narrative Paragraphs,Somewhat important,Balanced,Some interpretation,Highlighted in context within the body,Important,,No,7,1,4,8,3,6,2,5
R042,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Very important,Comprehensive,No interpretation,Depends on severity,Important,,No,1,7,4,5,8,6,2,3
R043,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Bullet Points,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",No,2,1,8,6,3,5,7,4
R044,20260414,Bedside nurse,bedside_nurse,4-7 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Missing Critical Information,Hybrid,Very important,Brevity,Some interpretation,Clearly highlighted at the very top,Somewhat important,,No,1,7,8,4,2,5,6,3
R045,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Missing Critical Information,Hybrid,Somewhat important,Balanced,Some interpretation,Clearly highlighted at the very top,Not important,,No,1,5,8,6,2,7,4,3
R046,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Other,Hybrid,Very important,Balanced,No interpretation,Clearly highlighted at the very top,Important,,Yes,2,3,6,7,5,4,8,1
R047,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Hybrid,Somewhat important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,"The summary should support handoff, monitoring, and discharge teaching, not only physician assessment.",No,4,1,8,3,5,7,6,2
R048,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Bullet Points,Somewhat important,Balanced,Interpretation only when needed,Depends on severity,Somewhat important,,No,5,1,8,7,6,3,4,2
R049,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Containing incorrect information,Hybrid,Somewhat important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,,Yes,1,5,8,4,3,2,6,7
R050,20260414,Bedside nurse,bedside_nurse,4-7 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Missing Critical Information,Hybrid,Somewhat important,Comprehensive,Some interpretation,Clearly highlighted at the very top,Somewhat important,,No,2,3,8,5,4,6,7,1
R051,20260414,Bedside nurse,bedside_nurse,4-7 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Containing incorrect information,Bullet Points,Very important,Brevity,Substantial interpretation,Depends on severity,Important,,No,1,2,8,7,4,3,6,5
R052,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Somewhat important,Balanced,Substantial interpretation,Clearly highlighted at the very top,Important,,Yes,1,2,5,8,3,4,7,6
R053,20260414,Bedside nurse,bedside_nurse,1-3 years,,Missing Critical Information,Bullet Points,Somewhat important,Brevity,Interpretation only when needed,Highlighted in context within the body,Important,,No,1,5,2,8,6,4,7,3
R054,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Very important,Balanced,Some interpretation,No special highlighting needed,Somewhat important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",Yes,2,3,6,7,1,5,8,4
R055,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Hybrid,Somewhat important,Balanced,Some interpretation,Clearly highlighted at the very top,Somewhat important,,Yes,1,5,6,7,4,3,2,8
R056,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Somewhat important,Brevity,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,1,4,7,8,2,6,5,3
R057,20260414,Bedside nurse,bedside_nurse,8-15 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Containing incorrect information,Hybrid,Very important,Balanced,Some interpretation,Depends on severity,Critically important,,No,3,1,2,7,8,6,5,4
R058,20260414,Bedside nurse,bedside_nurse,Less than 1 year,,Missing Critical Information,Bullet Points,Somewhat important,Balanced,No interpretation,Highlighted in context within the body,Somewhat important,,No,2,5,3,7,1,8,4,6
R059,20260414,Bedside nurse,bedside_nurse,Less than 1 year,,Missing Critical Information,Hybrid,Not important,Brevity,Some interpretation,Highlighted in context within the body,Important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",No,3,1,5,8,4,6,2,7
R060,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Narrative Paragraphs,Very important,Balanced,Interpretation only when needed,Highlighted in context within the body,Somewhat important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",Yes,2,6,7,8,4,1,3,5
R061,20260414,Bedside nurse,bedside_nurse,1-3 years,,Containing incorrect information,Bullet Points,Very important,Balanced,No interpretation,Clearly highlighted at the very top,Important,,No,4,3,8,7,1,6,2,5
R062,20260414,Bedside nurse,bedside_nurse,1-3 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Missing Critical Information,Narrative Paragraphs,Very important,Brevity,No interpretation,Highlighted in context within the body,Critically important,,No,5,2,8,7,1,3,6,4
R063,20260414,Bedside nurse,bedside_nurse,1-3 years,,Being too vague or generic to be useful,Hybrid,Somewhat important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,,No,4,3,5,8,1,6,7,2
R064,20260414,Bedside nurse,bedside_nurse,1-3 years,,Containing incorrect information,Bullet Points,Somewhat important,Comprehensive,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,Yes,3,2,6,8,7,4,1,5
R065,20260414,Bedside nurse,bedside_nurse,1-3 years,"Medication reconciliation and allergy visibility should be stronger, especially for high-risk medications.",Other,Bullet Points,Somewhat important,Balanced,No interpretation,Depends on severity,Important,,No,3,1,2,8,5,4,7,6
R066,20260414,Bedside nurse,bedside_nurse,8-15 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,,No,2,1,8,7,6,3,4,5
R067,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Narrative Paragraphs,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,Yes,3,1,8,5,2,6,4,7
R068,20260414,Bedside nurse,bedside_nurse,8-15 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Missing Critical Information,Hybrid,Somewhat important,Balanced,Interpretation only when needed,Highlighted in context within the body,Important,,Yes,8,4,6,3,1,7,2,5
R069,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Containing incorrect information,Hybrid,Somewhat important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Critically important,"Please include practical care details such as mobility baseline, delirium risk, and home supports when relevant.",No,1,4,3,8,7,6,5,2
R070,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Excessive length or clutter that makes key points hard to find,Bullet Points,Somewhat important,Balanced,Some interpretation,Clearly highlighted at the very top,Somewhat important,,No,2,4,7,8,5,6,3,1
R071,20260414,Bedside nurse,bedside_nurse,4-7 years,,Being too vague or generic to be useful,Bullet Points,Somewhat important,Balanced,Interpretation only when needed,Highlighted in context within the body,Important,,Yes,3,2,6,7,8,5,1,4
R072,20260414,Bedside nurse,bedside_nurse,1-3 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Missing Critical Information,Hybrid,Very important,Brevity,Some interpretation,Highlighted in context within the body,Important,,No,5,1,8,6,7,3,4,2
R073,20260414,Bedside nurse,bedside_nurse,4-7 years,,Excessive length or clutter that makes key points hard to find,Bullet Points,Very important,Balanced,Interpretation only when needed,Highlighted in context within the body,Important,,No,3,7,8,4,5,6,2,1
R074,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Hybrid,Somewhat important,Brevity,Some interpretation,Clearly highlighted at the very top,Important,,No,2,1,7,4,8,5,6,3
R075,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Narrative Paragraphs,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Somewhat important,,Yes,3,5,8,7,2,4,6,1
R076,20260414,Bedside nurse,bedside_nurse,4-7 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Somewhat important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,2,1,5,4,3,8,6,7
R077,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Hybrid,Very important,Comprehensive,Some interpretation,Clearly highlighted at the very top,Critically important,,Yes,2,1,7,5,6,3,4,8
R078,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Very important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Important,,No,5,1,8,7,4,3,6,2
R079,20260414,Bedside nurse,bedside_nurse,4-7 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Containing incorrect information,Narrative Paragraphs,Somewhat important,Balanced,Some interpretation,Highlighted in context within the body,Important,,No,1,5,8,4,2,6,3,7
R080,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Hybrid,Very important,Balanced,No interpretation,Depends on severity,Important,,Yes,2,1,8,3,4,5,7,6
R081,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Missing Critical Information,Hybrid,Very important,Balanced,Interpretation only when needed,Highlighted in context within the body,Somewhat important,,No,2,4,8,5,3,7,1,6
R082,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Bullet Points,Somewhat important,Balanced,No interpretation,Clearly highlighted at the very top,Important,,No,3,2,4,8,6,7,1,5
R083,20260414,Bedside nurse,bedside_nurse,1-3 years,A clearer problem list with recent changes to chronic conditions would help bedside handoff.,Containing incorrect information,Bullet Points,Very important,Brevity,Some interpretation,Clearly highlighted at the very top,Important,"Please include practical care details such as mobility baseline, delirium risk, and home supports when relevant.",No,4,1,7,6,2,5,8,3
R084,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Hybrid,Very important,Balanced,Some interpretation,Highlighted in context within the body,Somewhat important,,No,1,2,7,8,6,3,5,4
R085,20260414,Bedside nurse,bedside_nurse,1-3 years,"Medication reconciliation and allergy visibility should be stronger, especially for high-risk medications.",Containing incorrect information,Hybrid,Somewhat important,Brevity,Substantial interpretation,Clearly highlighted at the very top,Critically important,"The summary should support handoff, monitoring, and discharge teaching, not only physician assessment.",Yes,5,1,2,8,7,4,6,3
R086,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Very important,Balanced,Interpretation only when needed,Depends on severity,Somewhat important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",No,1,3,6,8,5,7,2,4
R087,20260414,Bedside nurse,bedside_nurse,4-7 years,,Being too vague or generic to be useful,Narrative Paragraphs,Very important,Brevity,Interpretation only when needed,Depends on severity,Important,,No,1,5,8,6,7,4,3,2
R088,20260414,Bedside nurse,bedside_nurse,8-15 years,,Missing Critical Information,Narrative Paragraphs,Very important,Balanced,No interpretation,Depends on severity,Important,,Yes,1,2,5,7,3,4,6,8
R089,20260414,Bedside nurse,bedside_nurse,4-7 years,,Excessive length or clutter that makes key points hard to find,Hybrid,Very important,Comprehensive,Some interpretation,Clearly highlighted at the very top,Somewhat important,"Medication changes, allergies, and recent abnormal results should be easy to spot during bedside care.",Yes,5,1,8,7,2,3,6,4
R090,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Other,Very important,Balanced,Substantial interpretation,Depends on severity,Important,,Yes,1,3,5,8,2,7,4,6
R091,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Containing incorrect information,Hybrid,Very important,Balanced,Interpretation only when needed,No special highlighting needed,Critically important,,No,1,7,6,3,5,4,2,8
R092,20260414,Bedside nurse,bedside_nurse,4-7 years,,Missing Critical Information,Bullet Points,Very important,Balanced,Some interpretation,Highlighted in context within the body,Important,,Yes,2,7,3,8,1,4,6,5
R093,20260414,Bedside nurse,bedside_nurse,8-15 years,,Containing incorrect information,Other,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Important,"The summary should support handoff, monitoring, and discharge teaching, not only physician assessment.",No,1,4,6,7,2,5,8,3
R094,20260414,Bedside nurse,bedside_nurse,4-7 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Containing incorrect information,Bullet Points,Very important,Balanced,No interpretation,Clearly highlighted at the very top,Critically important,,No,1,6,2,8,3,7,5,4
R095,20260414,Bedside nurse,bedside_nurse,1-3 years,,Excessive length or clutter that makes key points hard to find,Bullet Points,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Somewhat important,"The summary should support handoff, monitoring, and discharge teaching, not only physician assessment.",No,2,1,8,5,3,7,4,6
R096,20260414,Bedside nurse,bedside_nurse,1-3 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Containing incorrect information,Hybrid,Very important,Balanced,Some interpretation,Clearly highlighted at the very top,Critically important,,Yes,3,1,8,7,4,2,6,5
R097,20260414,Bedside nurse,bedside_nurse,Less than 1 year,,Other,Bullet Points,Somewhat important,Balanced,Interpretation only when needed,Clearly highlighted at the very top,Critically important,,No,1,4,6,8,2,3,5,7
R098,20260414,Bedside nurse,bedside_nurse,4-7 years,,Containing incorrect information,Hybrid,Very important,Balanced,Interpretation only when needed,Depends on severity,Important,,No,1,3,7,6,2,8,5,4
R099,20260414,Bedside nurse,bedside_nurse,More than 15 years,,Being too vague or generic to be useful,Narrative Paragraphs,Somewhat important,Brevity,Some interpretation,Clearly highlighted at the very top,Critically important,,No,2,3,8,7,1,4,5,6
R100,20260414,Bedside nurse,bedside_nurse,8-15 years,"Please include baseline function, home supports, and mobility when they affect care planning or discharge.",Containing incorrect information,Hybrid,Somewhat important,Balanced,No interpretation,Highlighted in context within the body,Important,,No,2,3,5,8,4,7,6,1
